ID;Description;English;Testing
1;Display Title;Equilinox;TestVal1
2;Welcome Message;欢迎！;TestVal2
3;Play Button;开始游戏;TestVal3
4;Control Button;操作说明;TestVal4
5;Options Button;选项;TestVal5
6;Quit Button;退出;TestVal6
7;New World Button;新世界;TestVal7
8;Shadows Option;阴影;TestVal8
9;Water Option;高清水面;TestVal9
10;On;开;TestVal10
11;Off;关;TestVal11
12;Back;返回;TestVal12
14;Antialiasing Option;抗锯齿;TestVal14
15;DOF Option;景深效果;TestVal15
16;Shaft Option;阳光光束;TestVal16
17;Sound Option;音效;TestVal17
18;Music Option;音乐;TestVal18
19;Save Text;保存;TestVal19
20;Load text;加载世界;TestVal20
21;Loading Text;加载中;TestVal21
22;Bonus Category;岩石;TestVal22
24;Controls UI;移动;TestVal24
25;Controls UI;W,A,S,D;TestVal25
26;Controls UI;冲刺;TestVal26
27;Controls UI;左 Ctrl;TestVal27
28;Controls UI;操控中;TestVal28
29;Controls UI;取消;TestVal29
30;Controls UI;状态标签;TestVal30
31;Controls UI;显示当前被操控动物的状态和健康状况。;TestVal31
32;Controls UI;操作标签;TestVal32
33;Controls UI;显示操控该动物时可使用的键盘操作说明。;TestVal33
34;Species Info Tip;物种信息;TestVal34
35;Species Info Tip;查看该物种的总体信息。;TestVal35
36;Buff Panel No Buff;该对象目前没有任何增益效果。;TestVal36
37;Colour Ui Name;颜色;TestVal37
38;Controls Screen;视角控制;TestVal38
39;Controls Screen;移动;TestVal39
40;Controls Screen;右键拖动;TestVal40
41;Controls Screen;旋转;TestVal41
42;Controls Screen;鼠标中键;TestVal42
43;Controls Screen;缩放;TestVal43
44;Controls Screen;滚轮;TestVal44
45;Controls Screen;实体操控;TestVal45
46;Controls Screen;选择;TestVal46
47;Controls Screen;鼠标左键;TestVal47
48;Controls Screen;快捷键;TestVal48
49;Controls Screen;生物群系测试仪;TestVal49
50;Controls Screen;放置;TestVal50
51;Controls Screen;B;TestVal51
52;Credits Titles;程序开发;TestVal52
53;Credits Titles;音乐制作;TestVal53
54;Credits Titles;额外音乐;TestVal54
55;Credits Titles;网站开发;TestVal55
56;Credits Titles;主菜单设计;TestVal56
57;Credits Titles;音效制作;TestVal57
58;Credits Titles;顶级 Patreon 赞助者;TestVal58
59;Credits;鸣谢;TestVal59
60;Options;阴影;TestVal60
61;Options;高清水面;TestVal61
62;Options;抗锯齿;TestVal62
63;Options;景深效果（略有瑕疵）;TestVal63
64;Options;阳光光束;TestVal64
65;Options;镜头光晕;TestVal65
66;Options;音乐;TestVal66
67;Options;音效;TestVal67
68;Confirm Message;删除此存档？;TestVal68
69;Save Panel;这是当前世界的存档位。;TestVal69
70;Save Panel;上次游玩;TestVal70
71;Save Panel;生物数量;TestVal71
72;Save Panel;已完成任务;TestVal72
73;Save Panel;点数;TestVal73
74;Save Panel;这是当前世界的存档位。;TestVal74
75;Last Saved;天前;TestVal75
76;Last Saved;小时前;TestVal76
77;Last Saved;分钟前;TestVal77
78;Empty Save Slot;空;TestVal78
79;Time Display;时间;TestVal79
80;Time Display;天;TestVal80
81;Time Display;年;TestVal81
82;Music UI;正在播放;TestVal82
83;Music UI;全部曲目;TestVal83
84;Music UI;音乐音量;TestVal84
85;Music UI;音效音量;TestVal85
86;Shop Unlock Notify;已解锁物种！;TestVal86
87;Shop Unlock Notify;已解锁物品！;TestVal87
88;Shop Unlock Notify, 0 = species name;你已解锁 $0$ 物种。;TestVal88
90;Shop Unlock Notify, 0 = item name;你已解锁 $0$ 物品。;TestVal90
91;Locked;未解锁！;TestVal91
92;Requires;通过任务解锁;TestVal92
93;Species Info Ui;状态;TestVal93
94;Biologist Task;发现所有物种;TestVal94
95;Biologist Task;发现游戏中所有的物种。;TestVal95
96;Breed Req;繁殖;TestVal96
